antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME'})","frozenset({'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.01400934,0.014676451,0.013342228,0.952380952,64.89177489,0.013136621,20.69179453
"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER THYME'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER BASIL'})",0.01400934,0.014676451,0.013342228,0.952380952,64.89177489,0.013136621,20.69179453
"frozenset({'HERB MARKER MINT', 'HERB MARKER CHIVES', 'HERB MARKER THYME'})","frozenset({'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.01400934,0.014676451,0.013342228,0.952380952,64.89177489,0.013136621,20.69179453
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME'})","frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.01400934,0.014676451,0.013342228,0.952380952,64.89177489,0.013136621,20.69179453
frozenset({'CHILDS GARDEN FORK PINK'}),frozenset({'CHILDS GARDEN FORK BLUE'}),0.014676451,0.01400934,0.013342228,0.909090909,64.89177489,0.013136621,10.84589726
"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME'})",0.014676451,0.01400934,0.013342228,0.909090909,64.89177489,0.013136621,10.84589726
"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME'})",0.014676451,0.01400934,0.013342228,0.909090909,64.89177489,0.013136621,10.84589726
"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER MINT', 'HERB MARKER CHIVES', 'HERB MARKER THYME'})",0.014676451,0.01400934,0.013342228,0.909090909,64.89177489,0.013136621,10.84589726
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER THYME'})",0.014676451,0.01400934,0.013342228,0.909090909,64.89177489,0.013136621,10.84589726
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.013342228,0.014676451,0.012675117,0.95,64.72954545,0.0124793,19.70647098
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER THYME'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER BASIL'})",0.013342228,0.014676451,0.012675117,0.95,64.72954545,0.0124793,19.70647098
"frozenset({'HERB MARKER MINT', 'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.013342228,0.014676451,0.012675117,0.95,64.72954545,0.0124793,19.70647098
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.013342228,0.014676451,0.012675117,0.95,64.72954545,0.0124793,19.70647098
"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER ROSEMARY'})",0.014676451,0.013342228,0.012675117,0.863636364,64.72954545,0.0124793,7.235490327
"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER ROSEMARY'})",0.014676451,0.013342228,0.012675117,0.863636364,64.72954545,0.0124793,7.235490327
"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER MINT', 'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER ROSEMARY'})",0.014676451,0.013342228,0.012675117,0.863636364,64.72954545,0.0124793,7.235490327
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER THYME'})",0.014676451,0.013342228,0.012675117,0.863636364,64.72954545,0.0124793,7.235490327
"frozenset({'HERB MARKER THYME', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME'})","frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER THYME', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER THYME'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME'})","frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER THYME'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER THYME', 'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER THYME', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER MINT', 'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER MINT', 'HERB MARKER CHIVES', 'HERB MARKER THYME'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER THYME'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER THYME'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY', 'HERB MARKER BASIL'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER BASIL'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER MINT', 'HERB MARKER CHIVES', 'HERB MARKER THYME'})","frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER MINT', 'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER THYME', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME'})","frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER THYME', 'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.01400934,0.01400934,0.012675117,0.904761905,64.58276644,0.012478855,10.35290193
"frozenset({'CHILDS GARDEN TROWEL BLUE', 'CHILDS GARDEN FORK BLUE'})",frozenset({'CHILDS GARDEN FORK PINK'}),0.012675117,0.014676451,0.012008005,0.947368421,64.55023923,0.01182198,18.72114743
frozenset({'CHILDS GARDEN FORK PINK'}),"frozenset({'CHILDS GARDEN TROWEL BLUE', 'CHILDS GARDEN FORK BLUE'})",0.014676451,0.012675117,0.012008005,0.818181818,64.55023923,0.01182198,5.430286858
"frozenset({'CHILDS GARDEN TROWEL PINK', 'CHILDS GARDEN FORK BLUE'})",frozenset({'CHILDS GARDEN FORK PINK'}),0.011340894,0.014676451,0.010673783,0.941176471,64.12834225,0.010507338,16.75050033
"frozenset({'CHILDS GARDEN TROWEL PINK', 'CHILDS GARDEN TROWEL BLUE', 'CHILDS GARDEN FORK BLUE'})",frozenset({'CHILDS GARDEN FORK PINK'}),0.011340894,0.014676451,0.010673783,0.941176471,64.12834225,0.010507338,16.75050033
frozenset({'CHILDS GARDEN FORK PINK'}),"frozenset({'CHILDS GARDEN TROWEL PINK', 'CHILDS GARDEN FORK BLUE'})",0.014676451,0.011340894,0.010673783,0.727272727,64.12834225,0.010507338,3.625083389
frozenset({'CHILDS GARDEN FORK PINK'}),"frozenset({'CHILDS GARDEN TROWEL PINK', 'CHILDS GARDEN TROWEL BLUE', 'CHILDS GARDEN FORK BLUE'})",0.014676451,0.011340894,0.010673783,0.727272727,64.12834225,0.010507338,3.625083389
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER MINT', 'HERB MARKER THYME'})",0.013342228,0.016010674,0.013342228,1,62.45833333,0.01312861,inf
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER MINT', 'HERB MARKER THYME'})",0.012675117,0.016010674,0.012675117,1,62.45833333,0.01247218,inf
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER CHIVES', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER MINT', 'HERB MARKER THYME'})",0.012675117,0.016010674,0.012675117,1,62.45833333,0.01247218,inf
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER MINT', 'HERB MARKER THYME', 'HERB MARKER BASIL'})",0.012675117,0.016010674,0.012675117,1,62.45833333,0.01247218,inf
frozenset({'FELTCRAFT GIRL NICOLE KIT'}),frozenset({'FELTCRAFT GIRL AMELIE KIT'}),0.012008005,0.013342228,0.010006671,0.833333333,62.45833333,0.009846458,5.919946631
"frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB', 'WHITE SPOT RED CERAMIC DRAWER KNOB'})","frozenset({'RED STRIPE CERAMIC DRAWER KNOB', 'WHITE SPOT BLUE CERAMIC DRAWER KNOB'})",0.012008005,0.013342228,0.010006671,0.833333333,62.45833333,0.009846458,5.919946631
"frozenset({'HERB MARKER MINT', 'HERB MARKER THYME'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.016010674,0.013342228,0.013342228,0.833333333,62.45833333,0.01312861,5.919946631
"frozenset({'HERB MARKER MINT', 'HERB MARKER THYME'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY'})",0.016010674,0.012675117,0.012675117,0.791666667,62.45833333,0.01247218,4.73915944
"frozenset({'HERB MARKER MINT', 'HERB MARKER THYME', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY'})",0.016010674,0.012675117,0.012675117,0.791666667,62.45833333,0.01247218,4.73915944
"frozenset({'HERB MARKER MINT', 'HERB MARKER THYME'})","frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER CHIVES', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.016010674,0.012675117,0.012675117,0.791666667,62.45833333,0.01247218,4.73915944
frozenset({'FELTCRAFT GIRL AMELIE KIT'}),frozenset({'FELTCRAFT GIRL NICOLE KIT'}),0.013342228,0.012008005,0.010006671,0.75,62.45833333,0.009846458,3.951967979
"frozenset({'RED STRIPE CERAMIC DRAWER KNOB', 'WHITE SPOT BLUE CERAMIC DRAWER KNOB'})","frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB', 'WHITE SPOT RED CERAMIC DRAWER KNOB'})",0.013342228,0.012008005,0.010006671,0.75,62.45833333,0.009846458,3.951967979
frozenset({'HERB MARKER CHIVES'}),"frozenset({'HERB MARKER THYME', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.015343562,0.01400934,0.013342228,0.869565217,62.07039337,0.013127275,7.55926173
"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME'})",0.015343562,0.01400934,0.013342228,0.869565217,62.07039337,0.013127275,7.55926173
frozenset({'HERB MARKER CHIVES'}),"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER THYME'})",0.015343562,0.01400934,0.013342228,0.869565217,62.07039337,0.013127275,7.55926173
"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER BASIL'})",0.015343562,0.01400934,0.013342228,0.869565217,62.07039337,0.013127275,7.55926173
"frozenset({'HERB MARKER MINT', 'HERB MARKER CHIVES'})","frozenset({'HERB MARKER THYME', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.015343562,0.01400934,0.013342228,0.869565217,62.07039337,0.013127275,7.55926173
frozenset({'HERB MARKER CHIVES'}),"frozenset({'HERB MARKER THYME', 'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.015343562,0.01400934,0.013342228,0.869565217,62.07039337,0.013127275,7.55926173
"frozenset({'HERB MARKER THYME', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER CHIVES'}),0.01400934,0.015343562,0.013342228,0.952380952,62.07039337,0.013127275,20.67778519
"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER THYME'})",frozenset({'HERB MARKER CHIVES'}),0.01400934,0.015343562,0.013342228,0.952380952,62.07039337,0.013127275,20.67778519
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME'})","frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY'})",0.01400934,0.015343562,0.013342228,0.952380952,62.07039337,0.013127275,20.67778519
"frozenset({'HERB MARKER THYME', 'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER CHIVES'}),0.01400934,0.015343562,0.013342228,0.952380952,62.07039337,0.013127275,20.67778519
"frozenset({'HERB MARKER THYME', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER MINT', 'HERB MARKER CHIVES'})",0.01400934,0.015343562,0.013342228,0.952380952,62.07039337,0.013127275,20.67778519
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY'})",0.01400934,0.015343562,0.013342228,0.952380952,62.07039337,0.013127275,20.67778519
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER PARSLEY', 'HERB MARKER THYME'})",0.014676451,0.014676451,0.013342228,0.909090909,61.94214876,0.01312683,10.83855904
"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER THYME'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER BASIL'})",0.014676451,0.014676451,0.013342228,0.909090909,61.94214876,0.01312683,10.83855904
"frozenset({'HERB MARKER MINT', 'HERB MARKER CHIVES', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER PARSLEY', 'HERB MARKER THYME'})",0.014676451,0.014676451,0.013342228,0.909090909,61.94214876,0.01312683,10.83855904
"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER THYME'})","frozenset({'HERB MARKER MINT', 'HERB MARKER CHIVES', 'HERB MARKER BASIL'})",0.014676451,0.014676451,0.013342228,0.909090909,61.94214876,0.01312683,10.83855904
"frozenset({'HERB MARKER THYME', 'HERB MARKER ROSEMARY', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER CHIVES'}),0.013342228,0.015343562,0.012675117,0.95,61.91521739,0.012470399,19.69312875
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER THYME'})",frozenset({'HERB MARKER CHIVES'}),0.013342228,0.015343562,0.012675117,0.95,61.91521739,0.012470399,19.69312875
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY'})",0.013342228,0.015343562,0.012675117,0.95,61.91521739,0.012470399,19.69312875
"frozenset({'HERB MARKER BASIL', 'HERB MARKER PARSLEY', 'HERB MARKER MINT', 'HERB MARKER THYME', 'HERB MARKER ROSEMARY'})",frozenset({'HERB MARKER CHIVES'}),0.013342228,0.015343562,0.012675117,0.95,61.91521739,0.012470399,19.69312875
"frozenset({'HERB MARKER THYME', 'HERB MARKER ROSEMARY', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER MINT', 'HERB MARKER CHIVES'})",0.013342228,0.015343562,0.012675117,0.95,61.91521739,0.012470399,19.69312875
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY'})",0.013342228,0.015343562,0.012675117,0.95,61.91521739,0.012470399,19.69312875
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})","frozenset({'HERB MARKER MINT', 'HERB MARKER THYME', 'HERB MARKER ROSEMARY'})",0.013342228,0.015343562,0.012675117,0.95,61.91521739,0.012470399,19.69312875
frozenset({'HERB MARKER CHIVES'}),"frozenset({'HERB MARKER THYME', 'HERB MARKER ROSEMARY', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.015343562,0.013342228,0.012675117,0.826086957,61.91521739,0.012470399,5.673282188
"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER ROSEMARY'})",0.015343562,0.013342228,0.012675117,0.826086957,61.91521739,0.012470399,5.673282188
frozenset({'HERB MARKER CHIVES'}),"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER MINT', 'HERB MARKER PARSLEY', 'HERB MARKER THYME'})",0.015343562,0.013342228,0.012675117,0.826086957,61.91521739,0.012470399,5.673282188
"frozenset({'HERB MARKER MINT', 'HERB MARKER THYME', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER CHIVES', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.015343562,0.013342228,0.012675117,0.826086957,61.91521739,0.012470399,5.673282188
"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY'})","frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER BASIL'})",0.015343562,0.013342228,0.012675117,0.826086957,61.91521739,0.012470399,5.673282188
"frozenset({'HERB MARKER MINT', 'HERB MARKER CHIVES'})","frozenset({'HERB MARKER THYME', 'HERB MARKER ROSEMARY', 'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.015343562,0.013342228,0.012675117,0.826086957,61.91521739,0.012470399,5.673282188
frozenset({'HERB MARKER CHIVES'}),"frozenset({'HERB MARKER BASIL', 'HERB MARKER PARSLEY', 'HERB MARKER MINT', 'HERB MARKER THYME', 'HERB MARKER ROSEMARY'})",0.015343562,0.013342228,0.012675117,0.826086957,61.91521739,0.012470399,5.673282188
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER PARSLEY', 'HERB MARKER BASIL'})",0.01400934,0.014676451,0.012675117,0.904761905,61.64718615,0.012469509,10.34589726
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME'})","frozenset({'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY'})",0.01400934,0.014676451,0.012675117,0.904761905,61.64718615,0.012469509,10.34589726
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY'})","frozenset({'HERB MARKER THYME', 'HERB MARKER PARSLEY'})",0.01400934,0.014676451,0.012675117,0.904761905,61.64718615,0.012469509,10.34589726
