,CustomerID,Monetory,Frequency,Recency,RecencyCluster,FrequencyCluster,MonetoryCluster,RFMCombined
142,12566.0,346.70000000000005,2,62,3,1,1,311
143,12567.0,5230.619999999997,7,12,4,3,4,434
145,12571.0,519.61,2,29,4,1,1,411
146,12572.0,517.0400000000002,2,37,3,1,1,311
147,12576.0,885.3299999999999,4,25,4,2,2,422
148,12577.0,399.5100000000001,3,25,4,2,1,421
149,12578.0,1185.85,1,11,4,1,2,412
150,12579.0,410.71999999999997,3,63,3,2,1,321
151,12581.0,197.70999999999998,1,29,4,1,1,411
152,12583.0,3468.1800000000003,11,8,4,4,3,443
154,12586.0,196.94,1,7,4,1,1,411
155,12588.0,214.9,1,29,4,1,1,411
156,12589.0,646.68,2,18,4,1,1,411
158,12592.0,205.8,1,82,2,1,1,211
159,12593.0,182.10000000000002,2,98,2,1,1,211
160,12594.0,1573.2300000000002,4,27,4,2,2,422
161,12596.0,348.32,1,41,3,1,1,311
162,12597.0,3166.9800000000014,4,9,4,2,3,423
163,12598.0,1737.34,5,-1,4,3,2,432
164,12599.0,568.72,4,19,4,2,1,421
165,12600.0,1283.0800000000002,4,18,4,2,2,422
166,12601.0,68.1,1,179,1,1,1,111
167,12602.0,153.12000000000003,1,48,3,1,1,311
168,12603.0,739.1999999999999,1,11,4,1,1,411
169,12604.0,75.67999999999999,1,69,3,1,1,311
171,12609.0,838.92,2,68,3,1,2,312
172,12610.0,2057.99,7,12,4,3,3,433
173,12611.0,1193.32,1,42,3,1,2,312
174,12612.0,643.59,2,47,3,1,1,311
175,12613.0,1756.4599999999998,2,21,4,1,2,412
176,12615.0,1868.3400000000001,3,26,4,2,2,422
177,12616.0,427.84999999999997,2,75,2,1,1,211
178,12617.0,355.5300000000002,1,19,4,1,1,411
179,12618.0,177.31,1,11,4,1,1,411
180,12619.0,2583.1499999999996,11,6,4,4,3,443
181,12620.0,777.75,2,4,4,1,1,411
182,12621.0,5079.599999999999,11,13,4,4,4,444
183,12624.0,641.13,2,96,2,1,1,211
184,12626.0,5221.799999999998,9,13,4,4,4,444
185,12627.0,4478.53,7,0,4,3,4,434
186,12628.0,554.36,3,8,4,2,1,421
187,12630.0,1270.88,2,-1,4,1,2,412
188,12631.0,640.5000000000002,1,47,3,1,1,311
189,12633.0,411.08,3,48,3,2,1,321
190,12635.0,1689.1799999999994,2,79,2,1,2,212
191,12637.0,3630.149999999999,4,57,3,2,3,323
192,12638.0,671.69,1,23,4,1,1,411
193,12640.0,1174.58,3,13,4,2,2,422
194,12641.0,185.9,1,105,2,1,1,211
195,12642.0,1013.26,3,15,4,2,2,422
196,12643.0,1932.72,3,118,2,2,3,223
197,12644.0,477.9100000000001,1,119,2,1,1,211
198,12645.0,956.4799999999999,3,23,4,2,2,422
199,12646.0,731.6899999999999,1,39,3,1,1,311
200,12647.0,1420.5099999999998,5,12,4,3,2,432
201,12648.0,318.05,1,144,1,1,1,111
202,12649.0,248.51000000000005,2,97,2,1,1,211
204,12654.0,264.23,2,0,4,1,1,411
205,12656.0,2361.3700000000003,5,7,4,3,3,433
206,12657.0,1152.06,5,1,4,3,2,432
207,12658.0,686.0500000000001,1,8,4,1,1,411
208,12659.0,91.68,1,19,4,1,1,411
209,12660.0,245.10000000000002,1,1,4,1,1,411
210,12662.0,2280.4300000000003,6,13,4,3,3,433
211,12664.0,2670.2999999999997,7,6,4,3,3,433
212,12667.0,620.13,1,48,3,1,1,311
213,12668.0,882.6800000000002,1,1,4,1,2,412
214,12669.0,471.43,1,140,1,1,1,111
215,12670.0,1959.7599999999998,4,0,4,2,3,423
216,12674.0,1332.5699999999997,6,1,4,3,2,432
217,12676.0,623.99,4,14,4,2,1,421
219,12679.0,189.54000000000002,6,42,3,3,1,331
220,12680.0,613.3599999999999,3,63,3,2,1,321
221,12681.0,5675.16,12,4,4,4,4,444
223,12683.0,3077.79,6,26,4,3,3,433
224,12684.0,1187.1299999999999,3,14,4,2,2,422
225,12685.0,2863.08,6,18,4,3,3,433
227,12689.0,1247.6100000000004,2,15,4,1,2,412
228,12691.0,629.6,3,18,4,2,1,421
229,12693.0,215.19000000000003,2,110,2,1,1,211
230,12694.0,869.6699999999998,2,60,3,1,2,312
231,12695.0,407.75,2,56,3,1,1,311
232,12697.0,939.0200000000001,5,11,4,3,2,432
234,12701.0,460.6300000000001,1,69,3,1,1,311
235,12702.0,219.0,1,9,4,1,1,411
236,12703.0,274.69999999999993,2,54,3,1,1,311
237,12704.0,2022.0799999999997,9,12,4,4,3,443
238,12705.0,3687.3899999999994,10,5,4,4,3,443
239,12708.0,1305.5,9,19,4,4,2,442
241,12710.0,411.60999999999996,3,86,2,2,1,221
242,12712.0,2103.65,6,12,4,3,3,433
243,12714.0,2946.94,3,-1,4,2,3,423
244,12715.0,353.85999999999996,1,96,2,1,1,211
245,12716.0,677.8999999999995,1,123,2,1,1,211
246,12717.0,371.23999999999995,2,141,1,1,1,111
247,12718.0,238.25000000000003,1,61,3,1,1,311
248,12719.0,246.74999999999994,2,49,3,1,1,311
250,12721.0,1548.31,3,21,4,2,2,422
251,12722.0,904.3299999999999,6,75,2,3,2,232
252,12723.0,647.79,4,6,4,2,1,421
253,12724.0,668.2700000000002,2,71,3,1,1,311
254,12726.0,1497.82,3,18,4,2,2,422
255,12727.0,1973.3799999999999,3,0,4,2,3,423
256,12728.0,219.01999999999998,1,61,3,1,1,311
257,12729.0,453.0100000000001,1,103,2,1,1,211
259,12732.0,236.2600000000001,1,169,1,1,1,111
260,12739.0,1013.0400000000001,2,68,3,1,2,312
261,12740.0,427.5999999999999,1,53,3,1,1,311
262,12743.0,546.43,2,124,2,1,1,211
263,12744.0,4948.58,4,41,3,2,4,324
264,12747.0,1666.1100000000001,4,12,4,2,2,422
266,12749.0,2323.0400000000004,5,12,4,3,3,433
267,12750.0,275.88,1,118,2,1,1,211
270,12756.0,112.08000000000001,1,76,2,1,1,211
271,12757.0,3639.8699999999994,9,5,4,4,3,443
272,12758.0,1221.3999999999999,1,106,2,1,2,212
273,12759.0,1086.6399999999999,2,42,3,1,2,312
274,12762.0,461.5900000000001,1,15,4,1,1,411
275,12763.0,174.0,1,128,1,1,1,111
276,12766.0,2255.4899999999993,2,47,3,1,3,313
277,12772.0,892.4700000000004,1,49,3,1,2,312
278,12775.0,641.16,2,7,4,1,1,411
279,12778.0,396.17,4,9,4,2,1,421
280,12779.0,908.68,5,11,4,3,2,432
281,12781.0,215.96999999999997,3,11,4,2,1,421
282,12782.0,515.72,1,139,1,1,1,111
283,12783.0,1203.29,7,22,4,3,2,432
284,12784.0,574.42,2,-1,4,1,1,411
285,12787.0,305.56,2,-1,4,1,1,411
286,12789.0,91.85000000000001,1,55,3,1,1,311
287,12794.0,860.4100000000001,2,43,3,1,2,312
288,12795.0,430.4800000000001,1,8,4,1,1,411
290,12802.0,412.5799999999999,2,173,1,1,1,111
291,12808.0,354.25,2,26,4,1,1,411
292,12809.0,484.36,2,158,1,1,1,111
293,12812.0,229.63999999999993,1,34,3,1,1,311
294,12814.0,125.92,1,91,2,1,1,211
295,12815.0,448.09999999999997,1,137,1,1,1,111
296,12816.0,572.2,2,85,2,1,1,211
298,12820.0,561.5300000000001,2,34,3,1,1,311
299,12822.0,918.9799999999998,3,60,3,2,2,322
300,12823.0,765.0,2,64,3,1,1,311
301,12824.0,397.11999999999995,1,49,3,1,1,311
302,12826.0,628.4200000000001,4,19,4,2,1,421
303,12827.0,318.7,2,22,4,1,1,411
304,12828.0,661.31,4,55,3,2,1,321
306,12832.0,383.03,2,22,4,1,1,411
307,12833.0,417.37999999999994,1,135,1,1,1,111
308,12836.0,951.4600000000003,2,49,3,1,2,312
309,12837.0,134.1,1,163,1,1,1,111
310,12838.0,292.34000000000003,1,23,4,1,1,411
311,12839.0,3443.1400000000003,9,1,4,4,3,443
312,12840.0,1148.8000000000002,2,133,1,1,2,112
313,12841.0,1764.1299999999999,12,4,4,4,2,442
314,12842.0,808.26,1,60,3,1,2,312
315,12843.0,1053.7,6,55,3,3,2,332
316,12844.0,325.96000000000004,2,19,4,1,1,411
317,12847.0,871.5399999999998,1,12,4,1,2,412
318,12849.0,346.39,1,21,4,1,1,411
319,12851.0,135.17999999999995,1,86,2,1,1,211
320,12853.0,1019.1000000000001,4,97,2,2,2,222
321,12854.0,514.1299999999999,1,68,3,1,1,311
322,12856.0,1949.58,7,8,4,3,3,433
323,12863.0,521.2,1,42,3,1,1,311
324,12864.0,147.12,1,128,1,1,1,111
325,12865.0,1568.2299999999996,2,16,4,1,2,412
326,12867.0,2255.9300000000003,5,16,4,3,3,433
327,12868.0,248.06000000000006,1,175,1,1,1,111
328,12871.0,248.64000000000001,1,74,2,1,1,211
329,12875.0,49.470000000000006,1,133,1,1,1,111
331,12877.0,754.07,4,14,4,2,1,421
333,12879.0,552.57,4,34,3,2,1,321
334,12882.0,1463.04,2,-1,4,1,2,412
335,12883.0,703.47,4,14,4,2,1,421
336,12884.0,309.05000000000007,1,78,2,1,1,211
337,12885.0,1158.27,4,53,3,2,2,322
338,12886.0,603.4,1,57,3,1,1,311
339,12890.0,380.46999999999997,1,14,4,1,1,411
340,12891.0,85.0,1,175,1,1,1,111
341,12893.0,188.14,1,20,4,1,1,411
342,12895.0,347.29999999999995,3,32,3,2,1,321
344,12904.0,509.5799999999999,2,8,4,1,1,411
345,12906.0,2919.8099999999995,5,1,4,3,3,433
346,12908.0,318.0,2,48,3,1,1,311
347,12909.0,628.06,4,29,4,2,1,421
348,12910.0,1932.5400000000004,5,13,4,3,3,433
349,12912.0,858.06,3,4,4,2,2,422
350,12913.0,1082.1399999999999,1,5,4,1,2,412
351,12915.0,164.0,1,138,1,1,1,111
352,12916.0,693.37,1,128,1,1,1,111
353,12917.0,594.0,1,118,2,1,1,211
354,12919.0,1013.5399999999998,7,6,4,3,2,432
355,12920.0,164.23000000000002,1,7,4,1,1,411
357,12922.0,405.38,1,151,1,1,1,111
358,12923.0,176.97,1,54,3,1,1,311
359,12924.0,278.43,1,78,2,1,1,211
360,12925.0,368.31,1,64,3,1,1,311
361,12928.0,1282.66,3,25,4,2,2,422
363,12930.0,409.9,4,68,3,2,1,321
365,12933.0,496.78,2,14,4,1,1,411
366,12935.0,950.69,3,16,4,2,2,422
367,12936.0,1012.9000000000001,5,7,4,3,2,432
368,12937.0,1076.0399999999995,2,5,4,1,2,412
369,12938.0,114.14,1,15,4,1,1,411
370,12939.0,4353.4800000000005,5,54,3,3,4,334
371,12940.0,876.2900000000001,4,36,3,2,2,322
372,12942.0,287.3799999999999,1,121,2,1,1,211
373,12944.0,317.56,1,25,4,1,1,411
374,12947.0,536.82,5,133,1,3,1,131
375,12948.0,1167.44,5,6,4,3,2,432
376,12949.0,1916.5199999999995,5,20,4,3,3,433
377,12950.0,311.6,1,14,4,1,1,411
378,12951.0,113.4,2,153,1,1,1,111
379,12952.0,1085.1100000000001,4,19,4,2,2,422
380,12953.0,329.84999999999997,1,-1,4,1,1,411
381,12955.0,3229.6200000000003,9,6,4,4,3,443
382,12957.0,2876.02,6,-1,4,3,3,433
383,12962.0,170.54000000000002,1,103,2,1,1,211
384,12963.0,1226.18,6,0,4,3,2,432
385,12965.0,771.9099999999996,1,79,2,1,1,211
386,12966.0,160.18,1,-1,4,1,1,411
387,12968.0,135.95,1,102,2,1,1,211
389,12977.0,39.24,1,146,1,1,1,111
390,12980.0,2595.4500000000003,5,145,1,3,3,133
391,12981.0,372.22,2,19,4,1,1,411
392,12984.0,97.5,1,8,4,1,1,411
393,12985.0,754.3799999999999,1,18,4,1,1,411
394,12987.0,240.7,2,63,3,1,1,311
395,12989.0,3464.94,7,11,4,3,3,433
396,12990.0,312.0,2,21,4,1,1,411
397,12991.0,503.76,2,13,4,1,1,411
398,12993.0,239.46000000000004,2,13,4,1,1,411
399,12994.0,256.87000000000006,2,97,2,1,1,211
400,12995.0,200.72,2,67,3,1,1,311
401,12997.0,614.6699999999998,3,12,4,2,1,421
402,13000.0,76.32000000000001,1,96,2,1,1,211
403,13001.0,1883.9599999999998,3,12,4,2,2,422
404,13003.0,90.0,2,95,2,1,1,211
406,13005.0,192.05,1,163,1,1,1,111
407,13006.0,81.57,1,46,3,1,1,311
408,13012.0,609.3299999999999,7,-1,4,3,1,431
409,13013.0,2119.6000000000004,10,11,4,4,3,443
410,13014.0,2083.65,9,0,4,4,3,443
412,13016.0,789.8899999999999,3,63,3,2,2,322
414,13021.0,1541.0,6,15,4,3,2,432
415,13023.0,689.9000000000001,2,54,3,1,1,311
416,13026.0,491.9100000000001,5,14,4,3,1,431
418,13028.0,659.68,3,12,4,2,1,421
419,13029.0,865.0,2,20,4,1,2,412
420,13030.0,371.7399999999999,1,1,4,1,1,411
421,13032.0,996.52,3,28,4,2,2,422
422,13034.0,476.91,1,44,3,1,1,311
423,13035.0,553.6299999999999,2,47,3,1,1,311
424,13037.0,303.75,1,128,1,1,1,111
425,13038.0,513.3600000000001,2,70,3,1,1,311
426,13040.0,303.25,1,23,4,1,1,411
427,13045.0,305.28,1,89,2,1,1,211
428,13046.0,431.59,1,20,4,1,1,411
429,13047.0,1425.42,10,21,4,4,2,442
430,13048.0,865.9900000000001,3,4,4,2,2,422
431,13049.0,502.9,1,54,3,1,1,311
433,13055.0,857.0999999999997,3,54,3,2,2,322
434,13058.0,271.4,3,14,4,2,1,421
435,13061.0,248.61,1,62,3,1,1,311
436,13062.0,346.98,1,181,1,1,1,111
437,13064.0,916.1899999999998,3,2,4,2,2,422
438,13066.0,430.9000000000001,3,14,4,2,1,421
439,13067.0,115.46000000000002,1,72,3,1,1,311
440,13068.0,179.0,1,0,4,1,1,411
441,13069.0,1236.38,12,4,4,4,2,442
442,13075.0,919.61,1,119,2,1,2,212
444,13079.0,190.10000000000002,4,11,4,2,1,421
445,13080.0,58.08,1,169,1,1,1,111
447,13082.0,1653.4499999999998,4,116,2,2,2,222
448,13083.0,192.39,1,65,3,1,1,311
449,13085.0,137.98,1,147,1,1,1,111
451,13090.0,5396.4400000000005,8,9,4,4,4,444
452,13091.0,319.82,2,11,4,1,1,411
453,13092.0,38.08,1,60,3,1,1,311
454,13094.0,774.7800000000001,7,11,4,3,1,431
455,13095.0,74.4,1,60,3,1,1,311
456,13097.0,2897.9599999999996,8,22,4,4,3,443
458,13099.0,207.35999999999999,1,89,2,1,1,211
459,13102.0,2152.8,7,13,4,3,3,433
460,13103.0,243.94,1,29,4,1,1,411
461,13104.0,545.28,3,36,3,2,1,321
462,13106.0,59.5,2,118,2,1,1,211
463,13107.0,964.78,3,34,3,2,2,322
464,13109.0,778.6400000000001,4,41,3,2,1,321
465,13110.0,756.18,4,21,4,2,1,421
466,13113.0,2324.44,11,4,4,4,3,443
467,13115.0,2236.73,10,1,4,4,3,443
468,13116.0,485.19000000000005,2,107,2,1,1,211
469,13117.0,233.53999999999996,2,11,4,1,1,411
470,13118.0,338.71000000000015,3,9,4,2,1,421
471,13122.0,18.72,1,84,2,1,1,211
473,13126.0,632.8299999999999,3,28,4,2,1,421
474,13127.0,259.16999999999996,1,67,3,1,1,311
475,13130.0,64.0,1,84,2,1,1,211
476,13131.0,1039.3,4,13,4,2,2,422
477,13134.0,1250.8799999999999,3,62,3,2,2,322
478,13136.0,1992.67,8,40,3,4,3,343
479,13137.0,2741.2400000000007,7,0,4,3,3,433
480,13138.0,575.54,4,12,4,2,1,421
481,13139.0,3885.77,6,6,4,3,4,434
482,13140.0,264.21,2,98,2,1,1,211
483,13141.0,987.7200000000001,1,74,2,1,2,212
484,13142.0,307.0899999999999,1,9,4,1,1,411
485,13145.0,319.77000000000004,4,29,4,2,1,421
486,13146.0,228.91,1,16,4,1,1,411
487,13147.0,712.8,4,0,4,2,1,421
488,13148.0,1751.5100000000002,9,19,4,4,2,442
489,13149.0,1299.3200000000002,3,4,4,2,2,422
491,13155.0,402.56,2,23,4,1,1,411
492,13157.0,1243.28,2,39,3,1,2,312
493,13158.0,944.6499999999999,3,84,2,2,2,222
494,13159.0,1097.1899999999998,4,40,3,2,2,322
495,13160.0,91.8,1,12,4,1,1,411
496,13162.0,386.6,2,112,2,1,1,211
497,13165.0,666.8399999999999,1,36,3,1,1,311
498,13167.0,791.33,4,8,4,2,2,422
499,13168.0,346.53,1,26,4,1,1,411
500,13169.0,207.68,1,53,3,1,1,311
501,13170.0,116.01000000000002,1,16,4,1,1,411
502,13171.0,307.26,3,6,4,2,1,421
503,13174.0,708.7600000000002,1,6,4,1,1,411
504,13176.0,492.8400000000001,1,36,3,1,1,311
505,13177.0,282.45,1,54,3,1,1,311
506,13178.0,3006.269999999999,6,16,4,3,3,433
507,13182.0,121.17999999999999,1,35,3,1,1,311
508,13183.0,2001.64,5,27,4,3,3,433
509,13184.0,924.9799999999999,7,4,4,3,2,432
510,13186.0,1539.69,5,29,4,3,2,432
511,13188.0,114.60000000000001,1,1,4,1,1,411
512,13189.0,260.68,2,8,4,1,1,411
513,13192.0,447.61999999999995,1,85,2,1,1,211
514,13193.0,117.88000000000001,1,51,3,1,1,311
515,13194.0,60.7,1,125,2,1,1,211
516,13196.0,1285.6500000000003,3,1,4,2,2,422
517,13198.0,1307.2899999999997,4,0,4,2,2,422
519,13200.0,870.0900000000001,4,9,4,2,2,422
520,13203.0,703.75,3,-1,4,2,1,421
521,13207.0,250.26000000000005,2,5,4,1,1,411
522,13208.0,505.69,4,48,3,2,1,321
523,13209.0,3513.0199999999995,6,20,4,3,3,433
524,13210.0,353.47999999999996,1,83,2,1,1,211
525,13211.0,1086.7200000000003,2,0,4,1,2,412
526,13212.0,780.5799999999998,4,-1,4,2,1,421
527,13213.0,1103.15,4,46,3,2,2,322
528,13217.0,133.62,5,112,2,3,1,231
529,13218.0,62.64,1,117,2,1,1,211
530,13220.0,259.6,2,68,3,1,1,311
531,13224.0,2150.850000000001,3,50,3,2,3,323
532,13225.0,1358.76,2,50,3,1,2,312
533,13228.0,358.0,1,71,3,1,1,311
534,13230.0,566.67,5,19,4,3,1,431
535,13232.0,665.6999999999999,4,2,4,2,1,421
536,13233.0,300.88,1,64,3,1,1,311
537,13236.0,727.2699999999999,3,14,4,2,1,421
538,13238.0,589.6800000000001,4,1,4,2,1,421
539,13240.0,221.23999999999998,2,86,2,1,1,211
540,13242.0,166.4,1,102,2,1,1,211
541,13244.0,121.74000000000001,1,82,2,1,1,211
542,13245.0,430.5,1,40,3,1,1,311
543,13246.0,273.58000000000004,3,8,4,2,1,421
544,13247.0,501.11999999999995,4,7,4,2,1,421
545,13248.0,465.67999999999995,2,114,2,1,1,211
546,13249.0,419.57000000000005,2,82,2,1,1,211
547,13253.0,553.9200000000001,1,146,1,1,1,111
548,13255.0,173.81,1,-1,4,1,1,411
550,13258.0,473.9599999999999,2,1,4,1,1,411
551,13259.0,292.3199999999999,1,51,3,1,1,311
552,13260.0,557.6200000000001,1,51,3,1,1,311
554,13265.0,982.7800000000001,3,43,3,2,2,322
555,13266.0,2278.86,10,1,4,4,3,443
556,13267.0,1989.65,10,7,4,4,3,443
557,13268.0,1368.7099999999998,7,7,4,3,2,432
558,13269.0,2962.66,10,1,4,4,3,443
559,13271.0,178.2599999999999,2,27,4,1,1,411
560,13272.0,276.56,2,21,4,1,1,411
561,13273.0,138.97999999999996,1,103,2,1,1,211
562,13276.0,590.9300000000001,2,53,3,1,1,311
563,13277.0,258.4,4,5,4,2,1,421
564,13278.0,542.73,1,30,4,1,1,411
565,13279.0,126.3,2,54,3,1,1,311
566,13280.0,115.5,1,112,2,1,1,211
567,13282.0,705.69,4,8,4,2,1,421
568,13283.0,93.66,2,49,3,1,1,311
569,13285.0,1535.8499999999997,2,13,4,1,2,412
570,13291.0,361.10999999999996,1,145,1,1,1,111
571,13292.0,329.37,1,28,4,1,1,411
572,13294.0,390.09000000000003,1,179,1,1,1,111
573,13296.0,87.4,1,127,1,1,1,111
574,13297.0,1766.3300000000002,3,13,4,2,2,422
575,13300.0,365.29,2,154,1,1,1,111
576,13301.0,290.32,2,93,2,1,1,211
577,13302.0,63.75,1,145,1,1,1,111
578,13305.0,1147.45,5,11,4,3,2,432
579,13307.0,15.0,1,110,2,1,1,211
580,13308.0,552.6600000000001,3,12,4,2,1,421
581,13309.0,675.27,2,35,3,1,1,311
582,13310.0,314.38,1,18,4,1,1,411
583,13311.0,490.11,1,140,1,1,1,111
584,13313.0,945.5799999999999,3,12,4,2,2,422
585,13314.0,392.1900000000003,3,41,3,2,1,321
587,13317.0,864.3000000000002,3,54,3,2,2,322
588,13318.0,302.96,1,27,4,1,1,411
590,13320.0,1025.09,3,60,3,2,2,322
591,13321.0,567.3599999999999,2,62,3,1,1,311
592,13322.0,199.48,1,7,4,1,1,411
593,13323.0,355.3,3,11,4,2,1,421
594,13324.0,3306.6600000000003,4,22,4,2,3,423
595,13325.0,675.3,1,71,3,1,1,311
596,13327.0,2195.62,5,28,4,3,3,433
597,13329.0,484.7999999999999,1,21,4,1,1,411
598,13330.0,805.1099999999999,2,82,2,1,2,212
599,13332.0,350.9,1,4,4,1,1,411
600,13334.0,1876.3800000000006,2,72,3,1,2,312
601,13336.0,795.12,1,67,3,1,2,312
602,13338.0,431.82,3,144,1,2,1,121
604,13343.0,303.93,2,162,1,1,1,111
605,13344.0,887.57,2,57,3,1,2,312
